,element,Tc,Tc_mean
0,Lu1.8Ba0.2Cu1O4,71.9,71.9
1,Y0.9Ba0.1Cu1O4,81.0,81.0
2,Sr0.2La1.8Cu0.95Ti0.05O4,21.0,21.0
3,Sr0.2La1.8Cu0.99V0.01O4,12.0,12.0
4,Sr0.2La1.8Cu0.99Cr0.01O4,22.0,22.0
5,Sr0.2La1.8Cu0.98Mn0.02O4,32.0,32.0
6,Sr0.2La1.8Cu0.95Fe0.05O4,30.0,30.0
7,Sr0.2La1.8Cu0.95Co0.05O4,16.0,16.0
8,Sr0.2La1.8Cu0.95Ni0.05O4,21.0,21.0
9,Pr0.1La1.7Sr0.2Cu1O4,36.0,36.0
10,Nd0.1La1.7Sr0.2Cu1O4,35.0,35.0
11,Sm0.1La1.7Sr0.2Cu1O4,32.0,32.0
12,Gd0.1La1.7Sr0.2Cu1O4,30.0,30.0
13,Y1Ba2Cu2.85Fe0.15O7,51.0,51.0
14,Y1Ba2Cu3Cl1O6,72.0,72.0
15,Y1Ba2Cu2.95Al0.05O7,88.0,88.0
16,Y1Ba2Cu2.9Al0.1O7,75.0,75.0
17,La1.85Sr0.15Cu0.95Ni0.05O4,4.2,4.2
18,Y1Ba2Cu2.89Al0.11O7,82.0,82.0
19,Y1Ba2Cu2.88Al0.12O7,51.0,51.0
20,Y1Ba2Cu2.87Al0.13O7,45.0,45.0
21,Y1Ba2Cu2.865Al0.135O7,45.0,45.0
22,Y1Ba2Cu2.82Al0.18O7,20.0,20.0
23,Y1Ba2Cu3H0.14O7,92.5,92.5
24,Y1Ba2Cu3H1O7,93.2,93.2
25,Eu1Ba2Cu3O7.1,94.9,94.9
26,Gd1Ba2Cu3O7.08,93.8,93.8
27,Dy1Ba2Cu3O6.82,92.7,92.7
28,Ho1Ba2Cu3O6.71,92.9,92.9
29,Er1Ba2Cu3O6.82,92.4,92.4
30,Tm1Ba2Cu3O6.65,92.5,92.5
31,Yb1Ba2Cu3O6.71,87.0,87.0
32,Nd1Ba2Cu3O7.16,95.3,95.3
33,Sm1Ba2Cu3O7.11,93.5,93.5
34,Y1Ba2.01Cu2.81Ni0.19O6.7,65.0,65.0
35,Y1Ba2.02Cu2.18Zn0.82O7,30.0,30.0
36,Y1Ba1.99Cu2.847Ag0.153O6.7,86.0,86.0
37,Y1Ba2Cu2.902Pt0.098O6.4,81.0,81.0
38,Y1Ba2.01Cu2.7Co0.3O6.8,36.0,36.0
39,Y1.01Ba2.01Cu2.906Ni0.094O6.7,71.0,71.0
40,Y1Ba2Cu2.697Mn0.303O6.9,63.0,63.0
41,Y1Ba2Cu2.844Fe0.156O7,57.0,57.0
42,Y1.01Ba2.01Cu2.697Fe0.303O,36.0,36.0
43,Y0.99Ba1.99Cu2.847Li0.153O6.4,62.0,62.0
44,Y1.01Ba2.03Cu2.808Li0.192O6.6,33.0,33.0
45,Y1Ba2Cu3F0.825O,90.5,90.5
46,Y1Ba2Cu3F1.65O5.675,90.3,90.3
47,La1.85Sr0.15Cu0.925Zn0.025O4,15.0,15.0
48,Y1Ba2Cu2.841Co0.159O6.8,54.0,54.0
49,Y1Ba2.01Cu2.806Cr0.194O7.3,62.0,62.0
50,Y1Ba2Cu2.95Fe0.05O6.92,91.8,91.8
51,Y1Ba2Cu2.8Fe0.2O6.93,49.0,49.0
52,Y1Ba2Cu2.6Fe0.4O7,31.0,31.0
53,Y1Ba2Cu2.95Al0.05O6.93,91.0,91.0
54,Y1Ba2Cu2.9Al0.1O6.93,92.0,92.0
55,Y1Ba2Cu2.8Al0.2O6.91,85.0,85.0
56,Y1Ba2Cu2.7Al0.3O6.99,73.0,73.0
57,Y1Ba2Cu2.6Al0.4O7,42.0,42.0
58,Y1Ba2Cu2.9Ni0.1O6.87,55.0,55.0
59,Y1Ba2Cu2.8Ni0.2O6.82,45.0,45.0
60,Y1Ba2Cu2.98Co0.02O6.9,93.4,93.4
61,Y1Ba2Cu2.95Co0.05O6.92,94.3,94.3
62,Y1Ba2Cu2.9Co0.1O6.82,73.0,73.0
63,Y1Ba2Cu2.8Co0.2O6.83,53.0,53.0
